payment_id,order_id,captured_date,gross_amount,method,status,order_type
pay_0073,order_0073,2026-07-05,913.24,upi,captured,direct
pay_0074,order_0074,2026-07-05,8143.09,upi,captured,marketplace
pay_0075,order_0075,2026-07-05,6425.54,card,captured,direct
pay_0076,order_0076,2026-07-05,896.42,upi,captured,direct
pay_0077,order_0077,2026-07-05,2248.51,upi,captured,marketplace
pay_0078,order_0078,2026-07-05,7380.11,wallet,captured,direct
pay_0079,order_0079,2026-07-05,1557.1,card,captured,direct
pay_0080,order_0080,2026-07-05,6370.4,upi,captured,direct
pay_0081,order_0081,2026-07-06,3034.32,netbanking,captured,marketplace
pay_0082,order_0082,2026-07-06,2802.8,card,captured,marketplace
pay_0083,order_0083,2026-07-06,7343.18,wallet,captured,direct
pay_0084,order_0084,2026-07-06,3615.35,upi,captured,direct
pay_0085,order_0085,2026-07-06,397.67,upi,captured,direct
pay_0086,order_0086,2026-07-06,1068.19,netbanking,captured,direct
pay_0087,order_0087,2026-07-06,1688.9,upi,captured,direct
pay_0088,order_0088,2026-07-06,2861.5,card,captured,marketplace
pay_0089,order_0089,2026-07-06,6713.9,upi,captured,direct
pay_0090,order_0090,2026-07-06,7303.05,netbanking,captured,direct
pay_0091,order_0091,2026-07-06,7256.13,card,captured,marketplace
pay_0092,order_0092,2026-07-06,3073.12,upi,captured,marketplace
pay_0093,order_0093,2026-07-06,8084.8,netbanking,captured,direct
pay_0094,order_0094,2026-07-06,3254.42,netbanking,captured,direct
pay_0095,order_0095,2026-07-06,2434.87,netbanking,captured,direct
pay_0096,order_0096,2026-07-06,5599.59,upi,captured,direct
pay_0097,order_0097,2026-07-07,8996.34,upi,captured,marketplace
pay_0098,order_0098,2026-07-07,3797.59,netbanking,captured,direct
pay_0099,order_0099,2026-07-07,1994.3,wallet,captured,direct
pay_0100,order_0100,2026-07-07,6181.53,upi,captured,marketplace
pay_0101,order_0101,2026-07-07,7545.86,upi,captured,direct
pay_0102,order_0102,2026-07-07,4171.51,card,captured,direct
pay_0103,order_0103,2026-07-07,4806.64,netbanking,captured,marketplace
pay_0104,order_0104,2026-07-07,4123.64,upi,captured,direct
pay_0105,order_0105,2026-07-07,4051.9,card,captured,marketplace
pay_0106,order_0106,2026-07-07,8480.11,wallet,captured,direct
pay_0107,order_0107,2026-07-07,6808.1,card,captured,direct
pay_0108,order_0108,2026-07-07,2003.95,card,captured,direct
pay_0109,order_0109,2026-07-07,4623.22,netbanking,captured,marketplace
pay_0110,order_0110,2026-07-07,8503.91,card,captured,direct
pay_0111,order_0111,2026-07-07,3097.66,upi,captured,marketplace
pay_0112,order_0112,2026-07-07,4311.24,wallet,captured,direct
pay_0113,order_0113,2026-07-07,2632.38,wallet,captured,marketplace
pay_0114,order_0114,2026-07-08,2637.52,card,captured,marketplace
pay_0115,order_0115,2026-07-08,4478.21,upi,captured,marketplace
pay_0116,order_0116,2026-07-08,8408.91,wallet,captured,marketplace
pay_0117,order_0117,2026-07-08,7425.26,netbanking,captured,direct
pay_0118,order_0118,2026-07-08,589.41,netbanking,captured,marketplace
pay_0119,order_0119,2026-07-08,2172.41,netbanking,captured,direct
pay_0120,order_0120,2026-07-08,701.15,wallet,captured,marketplace
pay_0121,order_0121,2026-07-08,4875.92,upi,captured,direct
pay_0122,order_0122,2026-07-08,4339.06,card,captured,direct
pay_0123,order_0123,2026-07-08,2970.95,wallet,captured,marketplace
pay_0124,order_0124,2026-07-08,317.73,card,captured,direct
pay_0125,order_0125,2026-07-08,4119.13,netbanking,captured,direct
pay_0126,order_0126,2026-07-08,6834.25,upi,captured,marketplace
pay_0127,order_0127,2026-07-08,7847.17,netbanking,captured,direct
pay_0128,order_0128,2026-07-08,7292.87,wallet,captured,direct
pay_0129,order_0129,2026-07-09,2311.58,wallet,captured,direct
pay_0130,order_0130,2026-07-09,7402.19,card,captured,direct
pay_0131,order_0131,2026-07-09,6754.14,wallet,captured,direct
pay_0132,order_0132,2026-07-09,6045.53,netbanking,captured,direct
pay_0133,order_0133,2026-07-09,3308.5,netbanking,captured,marketplace
pay_0134,order_0134,2026-07-09,5175.75,card,captured,direct
pay_0135,order_0135,2026-07-09,5660.04,card,captured,direct
pay_0136,order_0136,2026-07-09,5704.9,netbanking,captured,direct
pay_0137,order_0137,2026-07-09,1279.23,card,captured,direct
pay_0138,order_0138,2026-07-09,7354.77,card,captured,marketplace
pay_0139,order_0139,2026-07-09,1845.11,card,captured,marketplace
pay_0140,order_0140,2026-07-09,5282.16,upi,captured,direct
pay_0141,order_0141,2026-07-09,5075.38,card,captured,direct
pay_0142,order_0142,2026-07-09,7832.4,wallet,captured,direct
pay_0143,order_0143,2026-07-09,4490.66,upi,captured,marketplace
pay_0144,order_0144,2026-07-10,2594.71,wallet,captured,marketplace
pay_0145,order_0145,2026-07-10,826.57,upi,captured,direct
pay_0146,order_0146,2026-07-10,5086.34,wallet,captured,marketplace
pay_0147,order_0147,2026-07-10,7300.05,netbanking,captured,direct
pay_0148,order_0148,2026-07-10,8219.37,wallet,captured,direct
pay_0149,order_0149,2026-07-10,6044.85,card,captured,direct
pay_0150,order_0150,2026-07-10,8097.79,wallet,captured,direct
pay_0151,order_0151,2026-07-10,3017.82,netbanking,captured,direct
pay_0152,order_0152,2026-07-10,8330.13,wallet,captured,direct
pay_0153,order_0153,2026-07-10,4912.39,netbanking,captured,marketplace
pay_0154,order_0154,2026-07-10,2758.84,netbanking,captured,marketplace
pay_0155,order_0155,2026-07-10,5963.9,card,captured,marketplace
pay_0156,order_0156,2026-07-10,2724.95,card,captured,marketplace
pay_0157,order_0157,2026-07-10,7707.34,wallet,captured,marketplace
pay_0158,order_0158,2026-07-10,4573.98,wallet,captured,marketplace
pay_0159,order_0159,2026-07-10,4659.7,wallet,captured,marketplace
pay_0160,order_0160,2026-07-10,4383.96,upi,captured,direct
pay_0161,order_0161,2026-07-11,5301.49,netbanking,captured,marketplace
pay_0162,order_0162,2026-07-11,3431.18,wallet,captured,direct
pay_0163,order_0163,2026-07-11,5943.65,card,captured,direct
pay_0164,order_0164,2026-07-11,5419.45,wallet,captured,marketplace
pay_0165,order_0165,2026-07-11,5392.32,netbanking,captured,marketplace
pay_0166,order_0166,2026-07-11,7313.64,wallet,captured,direct
pay_0167,order_0167,2026-07-11,7893.59,wallet,captured,marketplace
pay_0168,order_0168,2026-07-11,1638.27,upi,captured,direct
pay_0169,order_0169,2026-07-11,4431.6,upi,captured,direct
pay_0170,order_0170,2026-07-11,1722.91,card,captured,direct
pay_0171,order_0171,2026-07-11,827.27,netbanking,captured,marketplace
pay_0172,order_0172,2026-07-11,2519.41,netbanking,captured,direct
pay_0173,order_0173,2026-07-11,8282.07,netbanking,captured,direct
pay_0174,order_0174,2026-07-11,8185.39,wallet,captured,direct
pay_0175,order_0175,2026-07-11,2945.25,wallet,captured,direct
pay_0176,order_0176,2026-07-11,503.24,upi,captured,direct
pay_0177,order_0177,2026-07-11,3969.6,upi,captured,marketplace
pay_0178,order_0178,2026-07-11,8491.82,upi,captured,direct
pay_0179,order_0179,2026-07-12,2390.44,card,captured,direct
pay_0180,order_0180,2026-07-12,2801.32,upi,captured,marketplace
pay_0181,order_0181,2026-07-12,6213.64,wallet,captured,direct
pay_0182,order_0182,2026-07-12,7634.42,netbanking,captured,marketplace
pay_0183,order_0183,2026-07-12,2059.39,upi,captured,direct
pay_0184,order_0184,2026-07-12,8455.73,netbanking,captured,direct
pay_0185,order_0185,2026-07-12,1433.49,netbanking,captured,direct
pay_0186,order_0186,2026-07-12,4459.22,card,captured,direct
pay_0187,order_0187,2026-07-12,1096.88,card,captured,direct
pay_0188,order_0188,2026-07-12,1368.51,netbanking,captured,direct
pay_0189,order_0189,2026-07-12,7474.97,upi,captured,direct
pay_0190,order_0190,2026-07-12,8649.04,upi,captured,direct
pay_0191,order_0191,2026-07-12,3940.69,netbanking,captured,direct
pay_0192,order_0192,2026-07-12,1023.06,netbanking,captured,direct
pay_0193,order_0193,2026-07-12,432.66,wallet,captured,direct
pay_0194,order_0194,2026-07-12,1406.65,netbanking,captured,direct
pay_0195,order_0195,2026-07-13,4866.41,netbanking,captured,marketplace
pay_0196,order_0196,2026-07-13,6758.3,wallet,captured,direct
pay_0197,order_0197,2026-07-13,5174.55,netbanking,captured,direct
pay_0198,order_0198,2026-07-13,3679.6,upi,captured,direct
pay_0199,order_0199,2026-07-13,3224.77,card,captured,direct
pay_0200,order_0200,2026-07-13,8169.31,wallet,captured,direct
pay_0201,order_0201,2026-07-13,3827.37,netbanking,captured,marketplace
pay_0202,order_0202,2026-07-13,4020.6,netbanking,captured,direct
pay_0203,order_0203,2026-07-13,3232.43,netbanking,captured,direct
pay_0204,order_0204,2026-07-13,6127.89,card,captured,marketplace
pay_0205,order_0205,2026-07-13,1197.71,wallet,captured,marketplace
pay_0206,order_0206,2026-07-13,5423.11,card,captured,direct
pay_0207,order_0207,2026-07-13,7541.56,wallet,captured,direct
pay_0208,order_0208,2026-07-13,4999.45,upi,captured,direct
pay_0209,order_0209,2026-07-14,7553.91,netbanking,captured,marketplace
pay_0210,order_0210,2026-07-14,5262.49,netbanking,captured,direct
pay_0211,order_0211,2026-07-14,4761.73,netbanking,captured,direct
pay_0212,order_0212,2026-07-14,3989.0,netbanking,captured,direct
pay_0213,order_0213,2026-07-14,3515.17,upi,captured,marketplace
pay_0214,order_0214,2026-07-14,7863.21,upi,captured,marketplace
pay_0215,order_0215,2026-07-14,8089.67,card,captured,direct
pay_0216,order_0216,2026-07-14,2308.45,wallet,captured,marketplace
pay_0217,order_0217,2026-07-14,3199.3,netbanking,captured,direct
pay_0218,order_0218,2026-07-14,3406.36,card,captured,marketplace
pay_0219,order_0219,2026-07-14,3469.5,card,captured,marketplace
pay_0220,order_0220,2026-07-14,3176.36,upi,captured,marketplace
pay_0221,order_0221,2026-07-14,6102.38,card,captured,marketplace
pay_0222,order_0222,2026-07-14,6988.54,wallet,captured,direct
pay_0223,order_0223,2026-07-14,1375.7,netbanking,captured,direct
pay_0224,order_0224,2026-07-14,5221.98,netbanking,captured,direct
pay_0225,order_0225,2026-07-15,1496.29,wallet,captured,direct
pay_0226,order_0226,2026-07-15,5456.33,upi,captured,marketplace
pay_0227,order_0227,2026-07-15,1890.97,netbanking,captured,marketplace
pay_0228,order_0228,2026-07-15,1193.18,upi,captured,direct
pay_0229,order_0229,2026-07-15,6151.81,card,captured,direct
pay_0230,order_0230,2026-07-15,8433.73,wallet,captured,direct
pay_0231,order_0231,2026-07-15,4942.26,wallet,captured,marketplace
pay_0232,order_0232,2026-07-15,3502.14,upi,captured,direct
pay_0233,order_0233,2026-07-15,6692.44,upi,captured,direct
pay_0234,order_0234,2026-07-15,6859.0,upi,captured,marketplace
pay_0235,order_0235,2026-07-15,1946.86,upi,captured,marketplace
pay_0236,order_0236,2026-07-15,1941.36,wallet,captured,marketplace
pay_0237,order_0237,2026-07-15,7528.58,netbanking,captured,direct
pay_0238,order_0238,2026-07-15,642.25,netbanking,captured,marketplace
pay_0239,order_0239,2026-07-15,7671.35,upi,captured,direct
pay_0240,order_0240,2026-07-15,7507.75,netbanking,captured,marketplace
pay_0241,order_0241,2026-07-16,4757.9,card,captured,marketplace
pay_0242,order_0242,2026-07-16,7090.94,netbanking,captured,marketplace
pay_0243,order_0243,2026-07-16,8967.85,upi,captured,marketplace
pay_0244,order_0244,2026-07-16,2039.82,netbanking,captured,direct
pay_0245,order_0245,2026-07-16,4904.85,netbanking,captured,marketplace
pay_0246,order_0246,2026-07-16,7637.23,netbanking,captured,direct
pay_0247,order_0247,2026-07-16,5547.83,wallet,captured,direct
pay_0248,order_0248,2026-07-16,4830.14,netbanking,captured,direct
pay_0249,order_0249,2026-07-16,571.21,upi,captured,marketplace
pay_0250,order_0250,2026-07-16,8319.09,netbanking,captured,direct
pay_0251,order_0251,2026-07-16,6342.38,card,captured,marketplace
pay_0252,order_0252,2026-07-16,5233.55,wallet,captured,direct
pay_0253,order_0253,2026-07-16,3216.68,wallet,captured,marketplace
pay_0254,order_0254,2026-07-17,1256.74,wallet,captured,direct
pay_0255,order_0255,2026-07-17,3794.99,upi,captured,marketplace
pay_0256,order_0256,2026-07-17,1986.37,wallet,captured,marketplace
pay_0257,order_0257,2026-07-17,3322.18,wallet,captured,direct
pay_0258,order_0258,2026-07-17,8830.85,upi,captured,direct
pay_0259,order_0259,2026-07-17,5069.19,netbanking,captured,marketplace
pay_0260,order_0260,2026-07-17,3689.77,wallet,captured,marketplace
pay_0261,order_0261,2026-07-17,5695.93,upi,captured,direct
pay_0262,order_0262,2026-07-17,7196.06,wallet,captured,direct
pay_0263,order_0263,2026-07-17,5736.23,wallet,captured,marketplace
pay_0264,order_0264,2026-07-17,6857.88,upi,captured,direct
pay_0265,order_0265,2026-07-17,2434.46,card,captured,marketplace
pay_0266,order_0266,2026-07-17,3320.2,wallet,captured,direct
pay_0267,order_0267,2026-07-17,1573.24,card,captured,marketplace
pay_0268,order_0268,2026-07-17,7742.61,upi,captured,marketplace
pay_0269,order_0269,2026-07-17,6090.77,card,captured,direct
pay_0270,order_0270,2026-07-18,1531.72,card,captured,direct
pay_0271,order_0271,2026-07-18,5525.84,netbanking,captured,direct
pay_0272,order_0272,2026-07-18,5635.9,wallet,captured,direct
pay_0273,order_0273,2026-07-18,5359.37,card,captured,direct
pay_0274,order_0274,2026-07-18,5089.75,wallet,captured,direct
pay_0275,order_0275,2026-07-18,2298.69,card,captured,direct
pay_0276,order_0276,2026-07-18,1032.01,wallet,captured,marketplace
pay_0277,order_0277,2026-07-18,3863.85,netbanking,captured,direct
pay_0278,order_0278,2026-07-18,8904.08,netbanking,captured,marketplace
pay_0279,order_0279,2026-07-18,1858.13,wallet,captured,direct
pay_0280,order_0280,2026-07-18,3918.88,wallet,captured,marketplace
pay_0281,order_0281,2026-07-18,5074.63,card,captured,direct
pay_0282,order_0282,2026-07-18,7613.8,wallet,captured,marketplace
pay_0283,order_0283,2026-07-18,2749.07,wallet,captured,direct
pay_0284,order_0284,2026-07-18,757.67,wallet,captured,marketplace
pay_0285,order_0285,2026-07-18,7694.85,wallet,captured,direct
pay_0286,order_0286,2026-07-18,4348.32,card,captured,direct
pay_0287,order_0287,2026-07-18,5493.89,card,captured,direct
pay_0288,order_0288,2026-07-19,4916.94,wallet,captured,marketplace
pay_0289,order_0289,2026-07-19,460.93,wallet,captured,direct
pay_0290,order_0290,2026-07-19,7165.87,upi,captured,direct
pay_0291,order_0291,2026-07-19,5222.96,netbanking,captured,direct
pay_0292,order_0292,2026-07-19,3850.07,wallet,captured,direct
pay_0293,order_0293,2026-07-19,7114.03,netbanking,captured,marketplace
pay_0294,order_0294,2026-07-19,3620.43,wallet,captured,direct
pay_0295,order_0295,2026-07-19,5972.96,upi,captured,marketplace
pay_0296,order_0296,2026-07-19,2761.74,netbanking,captured,direct
pay_0297,order_0297,2026-07-19,2685.36,wallet,captured,direct
pay_0298,order_0298,2026-07-19,1332.25,upi,captured,direct
pay_0299,order_0299,2026-07-19,4952.3,netbanking,captured,marketplace
pay_0300,order_0300,2026-07-19,603.53,upi,captured,marketplace
pay_0301,order_0301,2026-07-19,3376.18,wallet,captured,marketplace
pay_0302,order_0302,2026-07-19,1826.4,wallet,captured,marketplace
pay_0303,order_0303,2026-07-20,2082.4,wallet,captured,marketplace
pay_0304,order_0304,2026-07-20,6798.13,wallet,captured,direct
pay_0305,order_0305,2026-07-20,6414.84,wallet,captured,marketplace
pay_0306,order_0306,2026-07-20,6988.91,netbanking,captured,marketplace
pay_0307,order_0307,2026-07-20,7292.33,wallet,captured,marketplace
pay_0308,order_0308,2026-07-20,3316.03,card,captured,direct
pay_0309,order_0309,2026-07-20,1074.49,netbanking,captured,direct
pay_0310,order_0310,2026-07-20,6999.75,netbanking,captured,direct
pay_0311,order_0311,2026-07-20,5090.27,card,captured,direct
pay_0312,order_0312,2026-07-20,4333.8,upi,captured,direct
pay_0313,order_0313,2026-07-20,2787.28,netbanking,captured,marketplace
pay_0314,order_0314,2026-07-20,6327.33,netbanking,captured,marketplace
pay_0315,order_0315,2026-07-20,530.05,wallet,captured,direct
pay_0316,order_0316,2026-07-20,3178.13,upi,captured,marketplace
pay_0317,order_0317,2026-07-20,6658.63,netbanking,captured,direct
pay_0318,order_0318,2026-07-21,6665.53,card,captured,direct
pay_0319,order_0319,2026-07-21,6975.42,netbanking,captured,marketplace
pay_0320,order_0320,2026-07-21,7406.87,card,captured,direct
pay_0321,order_0321,2026-07-21,6887.65,upi,captured,marketplace
pay_0322,order_0322,2026-07-21,3539.39,upi,captured,direct
pay_0323,order_0323,2026-07-21,6377.27,card,captured,marketplace
pay_0324,order_0324,2026-07-21,1245.11,netbanking,partially_refunded,direct
pay_0325,order_0325,2026-07-21,2405.48,netbanking,captured,marketplace
pay_0326,order_0326,2026-07-21,5866.39,netbanking,captured,direct
pay_0327,order_0327,2026-07-21,2025.37,wallet,captured,marketplace
pay_0328,order_0328,2026-07-21,8756.64,netbanking,captured,marketplace
pay_0329,order_0329,2026-07-21,8732.98,upi,captured,marketplace
pay_0330,order_0330,2026-07-21,1775.94,card,captured,direct
pay_0331,order_0331,2026-07-21,7391.76,wallet,captured,direct
pay_0332,order_0332,2026-07-22,1246.89,upi,captured,direct
pay_0333,order_0333,2026-07-22,3073.04,wallet,captured,direct
pay_0334,order_0334,2026-07-22,4164.9,netbanking,captured,direct
pay_0335,order_0335,2026-07-22,6429.55,netbanking,captured,marketplace
pay_0336,order_0336,2026-07-22,1436.09,wallet,captured,direct
pay_0337,order_0337,2026-07-22,562.4,netbanking,captured,direct
pay_0338,order_0338,2026-07-22,6697.17,upi,captured,marketplace
pay_0339,order_0339,2026-07-22,6962.69,netbanking,captured,direct
pay_0340,order_0340,2026-07-22,1765.66,upi,captured,marketplace
pay_0341,order_0341,2026-07-22,3491.49,upi,captured,direct
pay_0342,order_0342,2026-07-22,1319.13,card,captured,marketplace
pay_0343,order_0343,2026-07-22,4375.24,wallet,captured,direct
pay_0344,order_0344,2026-07-22,6458.7,card,captured,direct
pay_0345,order_0345,2026-07-22,4650.37,wallet,captured,direct
pay_0346,order_0346,2026-07-23,643.05,card,captured,direct
pay_0347,order_0347,2026-07-23,4949.2,card,captured,direct
pay_0348,order_0348,2026-07-23,4103.03,netbanking,captured,marketplace
pay_0349,order_0349,2026-07-23,6009.13,netbanking,captured,direct
pay_0350,order_0350,2026-07-23,934.91,card,captured,marketplace
pay_0351,order_0351,2026-07-23,1580.93,wallet,captured,direct
pay_0352,order_0352,2026-07-23,1261.26,upi,captured,direct
pay_0353,order_0353,2026-07-23,830.35,card,captured,direct
pay_0354,order_0354,2026-07-23,1019.42,card,captured,direct
pay_0355,order_0355,2026-07-23,6448.67,card,captured,marketplace
pay_0356,order_0356,2026-07-23,3745.19,upi,captured,direct
pay_0357,order_0357,2026-07-23,3207.43,card,captured,direct
pay_0358,order_0358,2026-07-23,1663.06,card,captured,direct
pay_0359,order_0359,2026-07-23,1452.66,upi,captured,direct
pay_0360,order_0360,2026-07-23,1682.05,card,captured,marketplace
pay_0361,order_0361,2026-07-24,2127.1,card,captured,marketplace
pay_0362,order_0362,2026-07-24,8077.47,upi,captured,direct
pay_0363,order_0363,2026-07-24,8118.86,wallet,captured,marketplace
pay_0364,order_0364,2026-07-24,8458.09,upi,captured,marketplace
pay_0365,order_0365,2026-07-24,5039.62,upi,captured,direct
pay_0366,order_0366,2026-07-24,7925.69,netbanking,captured,direct
pay_0367,order_0367,2026-07-24,937.8,wallet,captured,direct
pay_0368,order_0368,2026-07-24,4769.8,wallet,captured,direct
pay_0369,order_0369,2026-07-24,7770.06,upi,captured,direct
pay_0370,order_0370,2026-07-24,1147.14,card,captured,marketplace
pay_0371,order_0371,2026-07-24,988.72,netbanking,captured,marketplace
pay_0372,order_0372,2026-07-24,4294.07,netbanking,captured,direct
pay_0373,order_0373,2026-07-25,1339.96,upi,captured,direct
pay_0374,order_0374,2026-07-25,7165.16,card,captured,direct
pay_0375,order_0375,2026-07-25,4809.61,card,captured,direct
pay_0376,order_0376,2026-07-25,4639.14,wallet,captured,marketplace
pay_0377,order_0377,2026-07-25,4480.98,upi,captured,direct
pay_0378,order_0378,2026-07-25,3577.3,netbanking,captured,direct
pay_0379,order_0379,2026-07-25,4224.83,wallet,captured,direct
pay_0380,order_0380,2026-07-25,1003.94,upi,captured,marketplace
pay_0381,order_0381,2026-07-25,1277.58,netbanking,captured,direct
pay_0382,order_0382,2026-07-25,6449.53,netbanking,captured,direct
pay_0383,order_0383,2026-07-25,7325.59,netbanking,captured,marketplace
pay_0384,order_0384,2026-07-25,7276.6,wallet,captured,direct
pay_0385,order_0385,2026-07-25,7860.86,netbanking,captured,marketplace
pay_0386,order_0386,2026-07-25,6595.75,upi,captured,marketplace
pay_0387,order_0387,2026-07-25,6359.91,card,captured,direct
pay_0388,order_0388,2026-07-26,1434.75,netbanking,captured,marketplace
pay_0389,order_0389,2026-07-26,1504.65,card,captured,direct
pay_0390,order_0390,2026-07-26,8764.32,upi,captured,direct
pay_0391,order_0391,2026-07-26,6685.77,netbanking,captured,direct
pay_0392,order_0392,2026-07-26,603.59,netbanking,captured,marketplace
pay_0393,order_0393,2026-07-26,3863.31,card,captured,marketplace
pay_0394,order_0394,2026-07-26,1802.1,wallet,captured,direct
pay_0395,order_0395,2026-07-26,1262.14,card,captured,direct
pay_0396,order_0396,2026-07-26,4244.68,netbanking,captured,direct
pay_0397,order_0397,2026-07-26,1950.55,netbanking,captured,marketplace
pay_0398,order_0398,2026-07-26,8445.71,upi,captured,direct
pay_0399,order_0399,2026-07-26,851.64,upi,captured,marketplace
pay_0400,order_0400,2026-07-26,7367.07,wallet,captured,marketplace
pay_0401,order_0401,2026-07-27,6665.65,netbanking,captured,direct
pay_0402,order_0402,2026-07-27,2560.4,upi,captured,direct
pay_0403,order_0403,2026-07-27,3919.39,netbanking,captured,direct
pay_0404,order_0404,2026-07-27,7411.63,wallet,captured,direct
pay_0405,order_0405,2026-07-27,5825.3,upi,captured,direct
pay_0406,order_0406,2026-07-27,2612.3,upi,captured,marketplace
pay_0407,order_0407,2026-07-27,380.6,card,captured,marketplace
pay_0408,order_0408,2026-07-27,8346.24,netbanking,captured,marketplace
pay_0409,order_0409,2026-07-27,3335.07,upi,captured,marketplace
pay_0410,order_0410,2026-07-27,2142.29,card,captured,marketplace
pay_0411,order_0411,2026-07-27,5545.63,netbanking,captured,direct
pay_0412,order_0412,2026-07-27,1055.76,upi,captured,marketplace
pay_0413,order_0413,2026-07-27,4874.09,upi,captured,marketplace
pay_0414,order_0414,2026-07-27,3582.67,wallet,captured,direct
pay_0415,order_0415,2026-07-27,7739.63,netbanking,captured,direct
pay_0416,order_0416,2026-07-27,1507.68,netbanking,captured,direct
pay_0417,order_0417,2026-07-27,2102.22,wallet,captured,direct
pay_0418,order_0418,2026-07-27,7531.08,upi,captured,direct
