bank_txn_id,value_date,credit_amount,utr,narration
bnk_0047,2026-07-25,18683.62,UTR241685906927,RAZORPAY SETTLEMENT UTR241685906927
bnk_0048,2026-07-26,38621.77,UTR454716422315,RAZORPAY SETTLEMENT UTR454716422315
bnk_0049,2026-07-26,17427.03,UTR806341914182,RAZORPAY SETTLEMENT UTR806341914182
bnk_0050,2026-07-27,31694.65,UTR763596288927,RAZORPAY SETTLEMENT UTR763596288927
bnk_0051,2026-07-27,40662.3,UTR245220443325,RAZORPAY SETTLEMENT UTR245220443325
bnk_0052,2026-07-28,24017.51,UTR631101638339,RAZORPAY SETTLEMENT UTR631101638339
bnk_0053,2026-07-28,23450.84,UTR254917689778,RAZORPAY SETTLEMENT UTR254917689778
bnk_0054,2026-07-29,39940.9,UTR566699473017,RAZORPAY SETTLEMENT UTR566699473017
bnk_0055,2026-07-29,35148.83,UTR922475007249,RAZORPAY SETTLEMENT UTR922475007249
bnk_0056,2026-07-30,36939.12,UTR366742651064,RAZORPAY SETTLEMENT UTR366742651064
bnk_0057,2026-07-30,48184.82,UTR950194325949,RAZORPAY SETTLEMENT UTR950194325949
bnk_0058,2026-07-31,35682.55,UTR755476469892,RAZORPAY SETTLEMENT UTR755476469892
bnk_0059,2026-07-31,21616.38,UTR760045839791,RAZORPAY SETTLEMENT UTR760045839791
bnk_0060,2026-08-04,40461.1,UTR715509967407,RAZORPAY SETTLEMENT UTR715509967407
bnk_0061,2026-08-04,33793.65,UTR514882014361,RAZORPAY SETTLEMENT UTR514882014361
